53716
28
117715000
167270500
0 1 1 1524 1903 5  (D 0,1,1) (S 43,22,32) (S 60,32,33) (S 101,14,6) (D 0,1,1)
0 1 2 1620 2128 6  (D 0,1,1) (S 5,1,2) (S 8,2,9) (S 20,9,18) (S 9,3,4) (D 0,1,1)
0 1 3 1588 2082 6  (D 0,1,1) (S 23,11,20) (S 73,38,47) (S 107,37,38) (S 13,4,12) (D 0,1,1)
0 1 4 1080 1415 5  (D 0,1,1) (S 11,4,5) (S 27,13,22) (S 103,22,21) (D 0,1,1)
0 1 5 1602 2289 8  (D 0,1,1) (S 57,30,31) (S 62,32,41) (S 64,33,42) (S 92,49,56) (S 91,48,55) (S 89,47,54) (D 0,1,1)
0 1 6 1549 1923 6  (D 0,1,1) (S 24,12,21) (S 40,21,30) (S 56,29,38) (S 71,38,39) (D 0,1,1)
0 1 7 1534 1979 5  (D 0,1,1) (S 36,18,19) (S 104,26,27) (S 38,20,21) (D 0,1,1)
0 1 8 1517 2138 6  (D 0,1,1) (S 74,39,40) (S 98,55,56) (S 90,48,49) (S 78,42,49) (D 0,1,1)
0 1 9 580 953 5  (D 0,1,1) (S 10,3,10) (S 22,10,20) (S 102,19,20) (D 0,1,1)
0 1 10 1589 1964 6  (D 0,1,1) (S 12,4,11) (S 55,29,30) (S 4,30,30) (S 58,30,39) (D 0,1,1)
0 1 11 1263 1627 5  (D 0,1,1) (S 14,5,6) (S 29,14,23) (S 44,23,24) (D 0,1,1)
0 1 12 1559 1957 6  (D 0,1,1) (S 16,6,13) (S 28,14,15) (S 31,15,24) (S 47,24,33) (D 0,1,1)
0 1 13 1423 1885 6  (D 0,1,1) (S 17,7,8) (S 18,8,15) (S 30,14,24) (S 46,24,32) (D 0,1,1)
0 1 14 1250 1619 5  (D 0,1,1) (S 25,12,22) (S 45,23,32) (S 42,22,31) (D 0,1,1)
0 1 15 1097 1544 5  (D 0,1,1) (S 26,13,14) (S 15,5,12) (S 99,7,14) (D 0,1,1)
0 1 16 1542 2110 6  (D 0,1,1) (S 32,16,17) (S 50,26,35) (S 67,35,44) (S 34,17,18) (D 0,1,1)
0 1 17 1411 1903 5  (D 0,1,1) (S 39,20,29) (S 85,46,47) (S 97,54,55) (D 0,1,1)
0 1 18 1630 2274 6  (D 0,1,1) (S 53,28,29) (S 80,43,50) (S 84,45,52) (S 95,52,53) (D 0,1,1)
0 1 19 1303 1706 5  (D 0,1,1) (S 59,31,40) (S 75,40,41) (S 61,32,40) (D 0,1,1)
0 1 20 1143 1579 5  (D 0,1,1) (S 63,32,42) (S 77,41,42) (S 41,22,23) (D 0,1,1)
0 1 21 1638 2215 7  (D 0,1,1) (S 52,27,36) (S 65,34,35) (S 66,35,36) (S 69,36,45) (S 51,27,28) (D 0,1,1)
0 1 22 1551 2135 6  (D 0,1,1) (S 48,25,26) (S 68,36,37) (S 70,37,46) (S 96,53,54) (D 0,1,1)
0 1 23 1615 2192 6  (D 0,1,1) (S 79,43,44) (S 82,44,51) (S 93,50,51) (S 94,51,52) (D 0,1,1)
0 1 24 1463 1958 5  (D 0,1,1) (S 86,46,52) (S 81,44,45) (S 83,45,46) (D 0,1,1)
0 1 25 1606 2200 7  (D 0,1,1) (S 54,28,37) (S 3,25,25) (S 49,25,34) (S 106,34,43) (S 7,2,3) (D 0,1,1)
0 1 26 1569 2107 7  (D 0,1,1) (S 21,10,19) (S 37,19,28) (S 105,27,18) (S 35,17,26) (S 100,10,11) (D 0,1,1)
0 1 27 1322 1887 6  (D 0,1,1) (S 19,9,10) (S 6,1,16) (S 2,16,16) (S 33,16,25) (D 0,1,1)
0 1 28 1634 2044 7  (D 0,1,1) (S 72,38,46) (S 87,46,53) (S 88,47,48) (S 76,40,48) (S 1,12,12) (D 0,1,1)
