29362
13
117568900
218664500
0 1 1 566 980 4  (D 0,1,1) (S 15,17,17) (S 42,45,45) (D 0,1,1)
0 1 2 1367 2103 7  (D 0,1,1) (S 26,28,28) (S 39,42,42) (S 40,43,43) (S 28,31,31) (S 74,16,1) (D 0,1,1)
0 1 3 1851 2235 8  (D 0,1,1) (S 3,4,4) (S 72,4,11) (S 10,11,11) (S 73,11,5) (S 66,5,12) (S 11,12,12) (D 0,1,1)
0 1 4 1843 2577 9  (D 0,1,1) (S 36,39,39) (S 77,39,40) (S 37,40,40) (S 41,44,44) (S 50,53,53) (S 75,21,20) (S 17,19,19) (D 0,1,1)
0 1 5 1860 2585 9  (D 0,1,1) (S 53,57,57) (S 55,59,59) (S 79,59,50) (S 78,51,50) (S 49,52,52) (S 48,51,51) (S 34,37,37) (D 0,1,1)
0 1 6 1377 1872 8  (D 0,1,1) (S 1,2,2) (S 67,18,19) (S 18,20,20) (S 21,23,23) (S 38,41,41) (S 8,9,9) (D 0,1,1)
0 1 7 1839 2411 9  (D 0,1,1) (S 2,3,3) (S 9,10,10) (S 20,22,22) (S 68,28,38) (S 35,38,38) (S 27,29,29) (S 22,24,24) (D 0,1,1)
0 1 8 1663 2354 10  (D 0,1,1) (S 4,5,5) (S 5,6,6) (S 12,14,14) (S 13,15,15) (S 23,25,25) (S 7,8,8) (S 6,7,7) (S 19,21,21) (D 0,1,1)
0 1 9 1814 2456 10  (D 0,1,1) (S 14,16,16) (S 24,26,26) (S 30,33,33) (S 43,46,46) (S 52,56,56) (S 61,65,65) (S 62,66,66) (S 31,34,34) (D 0,1,1)
0 1 10 1787 2478 8  (D 0,1,1) (S 16,18,18) (S 76,35,48) (S 54,58,58) (S 64,68,68) (S 57,61,61) (S 33,36,36) (D 0,1,1)
0 1 11 1833 2432 9  (D 0,1,1) (S 29,32,32) (S 58,62,62) (S 80,62,54) (S 59,63,63) (S 81,63,55) (S 51,55,55) (S 71,55,56) (D 0,1,1)
0 1 12 1739 2502 9  (D 0,1,1) (S 44,47,47) (S 69,47,48) (S 63,67,67) (S 56,60,60) (S 65,69,69) (S 32,35,35) (S 25,27,27) (D 0,1,1)
0 1 13 1636 2377 8  (D 0,1,1) (S 45,48,48) (S 46,49,49) (S 70,49,64) (S 60,64,64) (S 82,65,66) (S 47,50,50) (D 0,1,1)
